journal_entry_id,fund_code,entry_date,entry_type,reference_number,description,account_code,account_name,debit_amount,credit_amount,currency_code,fx_rate,fx_rate_as_of,fx_rate_source,non_cash,source_document,created_by,created_date,last_modified_date
ACC-JE-001,ADMIN-FUND-001,2014-04-29,CAPITAL_CALL,ADMIN-CC-001,Capital call,1000,Cash,0.0,17184090.62,EUR,1.0,2014-04-29,INTERNAL,False,Capital Call Notice,Kevin Gaines,2014-04-29,2014-04-29
ACC-JE-002,ADMIN-FUND-001,2018-09-23,CAPITAL_CALL,ADMIN-CC-002,Capital call,1000,Cash,0.0,11770454.95,EUR,1.0,2018-09-23,INTERNAL,False,Capital Call Notice,Paula Herrera,2018-09-23,2018-09-23
ACC-JE-003,ADMIN-FUND-001,2014-11-19,CAPITAL_CALL,ADMIN-CC-003,Capital call,1000,Cash,0.0,17064585.72,EUR,1.0,2014-11-19,INTERNAL,False,Capital Call Notice,Kelsey White,2014-11-19,2014-11-19
ACC-JE-004,ADMIN-FUND-001,2019-05-09,CAPITAL_CALL,ADMIN-CC-004,Capital call,1000,Cash,0.0,14425922.95,EUR,1.0,2019-05-09,INTERNAL,False,Capital Call Notice,Taylor Herrera,2019-05-09,2019-05-09
ACC-JE-005,ADMIN-FUND-001,2018-02-19,CAPITAL_CALL,ADMIN-CC-005,Capital call,1000,Cash,0.0,757764.2,EUR,1.0,2018-02-19,INTERNAL,False,Capital Call Notice,Jennifer Parsons MD,2018-02-19,2018-02-19
ACC-JE-006,ADMIN-FUND-001,2015-08-04,CAPITAL_CALL,ADMIN-CC-006,Capital call,1000,Cash,0.0,2342777.01,EUR,1.0,2015-08-04,INTERNAL,False,Capital Call Notice,Eric Coleman,2015-08-04,2015-08-04
ACC-JE-007,ADMIN-FUND-001,2017-07-15,CAPITAL_CALL,ADMIN-CC-007,Capital call,1000,Cash,0.0,14592807.56,EUR,1.0,2017-07-15,INTERNAL,False,Capital Call Notice,Sharon Simpson,2017-07-15,2017-07-15
ACC-JE-008,ADMIN-FUND-001,2018-01-15,CAPITAL_CALL,ADMIN-CC-008,Capital call,1000,Cash,0.0,669208.18,EUR,1.0,2018-01-15,INTERNAL,False,Capital Call Notice,Natasha Calhoun,2018-01-15,2018-01-15
ACC-JE-009,ADMIN-FUND-001,2018-01-02,CAPITAL_CALL,ADMIN-CC-009,Capital call,1000,Cash,0.0,2308169.26,EUR,1.0,2018-01-02,INTERNAL,False,Capital Call Notice,Elizabeth James,2018-01-02,2018-01-02
ACC-JE-010,ADMIN-FUND-001,2017-10-17,CAPITAL_CALL,ADMIN-CC-010,Capital call,1000,Cash,0.0,4150809.32,EUR,1.0,2017-10-17,INTERNAL,False,Capital Call Notice,Kimberly Moore,2017-10-17,2017-10-17
ACC-JE-011,ADMIN-FUND-001,2014-11-29,CAPITAL_CALL,ADMIN-CC-011,Capital call,1000,Cash,0.0,1037626.84,EUR,1.0,2014-11-29,INTERNAL,False,Capital Call Notice,James Gardner,2014-11-29,2014-11-29
ACC-JE-012,ADMIN-FUND-001,2014-06-23,CAPITAL_CALL,ADMIN-CC-012,Capital call,1000,Cash,0.0,329034.41,EUR,1.0,2014-06-23,INTERNAL,False,Capital Call Notice,Todd Li,2014-06-23,2014-06-23
ACC-JE-013,ADMIN-FUND-001,2014-06-22,CAPITAL_CALL,ADMIN-CC-013,Capital call,1000,Cash,0.0,5284383.9,EUR,1.0,2014-06-22,INTERNAL,False,Capital Call Notice,Lori Lozano,2014-06-22,2014-06-22
ACC-JE-014,ADMIN-FUND-001,2016-06-16,CAPITAL_CALL,ADMIN-CC-014,Capital call,1000,Cash,0.0,1413860.73,EUR,1.0,2016-06-16,INTERNAL,False,Capital Call Notice,Teresa Armstrong,2016-06-16,2016-06-16
ACC-JE-015,ADMIN-FUND-001,2016-07-29,CAPITAL_CALL,ADMIN-CC-015,Capital call,1000,Cash,0.0,274247.94,EUR,1.0,2016-07-29,INTERNAL,False,Capital Call Notice,Donald Becker,2016-07-29,2016-07-29
ACC-JE-016,ADMIN-FUND-001,2019-07-07,CAPITAL_CALL,ADMIN-CC-016,Capital call,1000,Cash,0.0,8336470.67,EUR,1.0,2019-07-07,INTERNAL,False,Capital Call Notice,Julie Hooper,2019-07-07,2019-07-07
ACC-JE-017,ADMIN-FUND-001,2014-01-30,CAPITAL_CALL,ADMIN-CC-017,Capital call,1000,Cash,0.0,4839681.43,EUR,1.0,2014-01-30,INTERNAL,False,Capital Call Notice,Leah Smith,2014-01-30,2014-01-30
ACC-JE-018,ADMIN-FUND-001,2017-12-02,CAPITAL_CALL,ADMIN-CC-018,Capital call,1000,Cash,0.0,792676.54,EUR,1.0,2017-12-02,INTERNAL,False,Capital Call Notice,Trevor Wright,2017-12-02,2017-12-02
ACC-JE-019,ADMIN-FUND-001,2014-11-27,CAPITAL_CALL,ADMIN-CC-019,Capital call,1000,Cash,0.0,2334172.06,EUR,1.0,2014-11-27,INTERNAL,False,Capital Call Notice,Dalton Joseph,2014-11-27,2014-11-27
ACC-JE-020,ADMIN-FUND-001,2018-02-16,CAPITAL_CALL,ADMIN-CC-020,Capital call,1000,Cash,0.0,419954.96,EUR,1.0,2018-02-16,INTERNAL,False,Capital Call Notice,Toni Mccormick,2018-02-16,2018-02-16
ACC-JE-021,ADMIN-FUND-001,2017-09-01,CAPITAL_CALL,ADMIN-CC-021,Capital call,1000,Cash,0.0,13956965.15,EUR,1.0,2017-09-01,INTERNAL,False,Capital Call Notice,Michael Chapman,2017-09-01,2017-09-01
ACC-JE-022,ADMIN-FUND-001,2016-12-02,CAPITAL_CALL,ADMIN-CC-022,Capital call,1000,Cash,0.0,4367382.66,EUR,1.0,2016-12-02,INTERNAL,False,Capital Call Notice,Roy Dunn,2016-12-02,2016-12-02
ACC-JE-023,ADMIN-FUND-001,2018-05-28,CAPITAL_CALL,ADMIN-CC-023,Capital call,1000,Cash,0.0,5507222.22,EUR,1.0,2018-05-28,INTERNAL,False,Capital Call Notice,Travis Lam,2018-05-28,2018-05-28
ACC-JE-024,ADMIN-FUND-001,2015-05-04,CAPITAL_CALL,ADMIN-CC-024,Capital call,1000,Cash,0.0,16599821.19,EUR,1.0,2015-05-04,INTERNAL,False,Capital Call Notice,Ashley Smith,2015-05-04,2015-05-04
ACC-JE-025,ADMIN-FUND-001,2017-03-14,CAPITAL_CALL,ADMIN-CC-025,Capital call,1000,Cash,0.0,9137976.17,EUR,1.0,2017-03-14,INTERNAL,False,Capital Call Notice,Nicholas Perez,2017-03-14,2017-03-14
ACC-JE-026,ADMIN-FUND-001,2017-06-23,CAPITAL_CALL,ADMIN-CC-026,Capital call,1000,Cash,0.0,11235724.91,EUR,1.0,2017-06-23,INTERNAL,False,Capital Call Notice,Leslie Johnson,2017-06-23,2017-06-23
ACC-JE-027,ADMIN-FUND-001,2014-02-20,CAPITAL_CALL,ADMIN-CC-027,Capital call,1000,Cash,0.0,17529707.92,EUR,1.0,2014-02-20,INTERNAL,False,Capital Call Notice,Paul Martinez,2014-02-20,2014-02-20
ACC-JE-028,ADMIN-FUND-001,2016-06-05,CAPITAL_CALL,ADMIN-CC-028,Capital call,1000,Cash,0.0,5001599.12,EUR,1.0,2016-06-05,INTERNAL,False,Capital Call Notice,Daniel White,2016-06-05,2016-06-05
ACC-JE-029,ADMIN-FUND-001,2016-01-12,CAPITAL_CALL,ADMIN-CC-029,Capital call,1000,Cash,0.0,10130734.03,EUR,1.0,2016-01-12,INTERNAL,False,Capital Call Notice,Charlene Hill,2016-01-12,2016-01-12
ACC-JE-030,ADMIN-FUND-001,2017-01-28,CAPITAL_CALL,ADMIN-CC-030,Capital call,1000,Cash,0.0,17374402.96,EUR,1.0,2017-01-28,INTERNAL,False,Capital Call Notice,Beth Crane,2017-01-28,2017-01-28
ACC-JE-031,ADMIN-FUND-001,2014-01-01,CAPITAL_CALL,ADMIN-CC-031,Capital call,1000,Cash,0.0,12618503.98,EUR,1.0,2014-01-01,INTERNAL,False,Capital Call Notice,Nicole White,2014-01-01,2014-01-01
ACC-JE-032,ADMIN-FUND-001,2017-05-27,CAPITAL_CALL,ADMIN-CC-032,Capital call,1000,Cash,0.0,17465781.62,EUR,1.0,2017-05-27,INTERNAL,False,Capital Call Notice,Anita Stone,2017-05-27,2017-05-27
ACC-JE-033,ADMIN-FUND-001,2015-04-07,CAPITAL_CALL,ADMIN-CC-033,Capital call,1000,Cash,0.0,21960016.55,EUR,1.0,2015-04-07,INTERNAL,False,Capital Call Notice,Tammy Cherry,2015-04-07,2015-04-07
ACC-JE-034,ADMIN-FUND-001,2014-12-19,CAPITAL_CALL,ADMIN-CC-034,Capital call,1000,Cash,0.0,23251054.06,EUR,1.0,2014-12-19,INTERNAL,False,Capital Call Notice,David Walsh,2014-12-19,2014-12-19
ACC-JE-035,ADMIN-FUND-001,2016-08-19,CAPITAL_CALL,ADMIN-CC-035,Capital call,1000,Cash,0.0,4355161.97,EUR,1.0,2016-08-19,INTERNAL,False,Capital Call Notice,Ryan Russell,2016-08-19,2016-08-19
ACC-JE-036,ADMIN-FUND-001,2016-02-10,CAPITAL_CALL,ADMIN-CC-036,Capital call,1000,Cash,0.0,3199673.04,EUR,1.0,2016-02-10,INTERNAL,False,Capital Call Notice,Brian Richard,2016-02-10,2016-02-10
ACC-JE-037,ADMIN-FUND-001,2016-08-19,CAPITAL_CALL,ADMIN-CC-037,Capital call,1000,Cash,0.0,3240098.58,EUR,1.0,2016-08-19,INTERNAL,False,Capital Call Notice,Jennifer Hernandez,2016-08-19,2016-08-19
ACC-JE-038,ADMIN-FUND-001,2019-01-09,CAPITAL_CALL,ADMIN-CC-038,Capital call,1000,Cash,0.0,913604.38,EUR,1.0,2019-01-09,INTERNAL,False,Capital Call Notice,Tony Vasquez,2019-01-09,2019-01-09
ACC-JE-039,ADMIN-FUND-001,2014-01-08,CAPITAL_CALL,ADMIN-CC-039,Capital call,1000,Cash,0.0,1204705.89,EUR,1.0,2014-01-08,INTERNAL,False,Capital Call Notice,Taylor Phillips,2014-01-08,2014-01-08
ACC-JE-040,ADMIN-FUND-001,2014-06-30,CAPITAL_CALL,ADMIN-CC-040,Capital call,1000,Cash,0.0,3025428.15,EUR,1.0,2014-06-30,INTERNAL,False,Capital Call Notice,Elizabeth Harrison,2014-06-30,2014-06-30
