opportunity_id,opportunity_name,company_name,company_id,stage,expected_close_date,amount,currency_code,probability,source,owner_name,created_date,last_modified_date,description,industry,geography,deal_type,investment_thesis,fund_name
OPP-001,Series B Growth Capital,TechFlow Solutions,CRM-COMP-001,Due Diligence,2025-12-15,25000000,USD,75,Referral,Sarah Johnson,2025-08-20,2025-10-15,SaaS platform for supply chain optimization,Technology,North America,Growth Equity,Strong recurring revenue model with 40% YoY growth,Growth Capital Fund III
OPP-002,Acquisition Financing,MedDevice Innovations,CRM-COMP-002,Term Sheet,2025-11-28,15000000,USD,85,Direct Outreach,Michael Chen,2025-07-05,2025-10-22,Medical device manufacturer specializing in cardiac monitoring,Healthcare,Europe,Buyout,Market leader with proprietary technology and regulatory moats,European Buyout Fund II
OPP-003,Expansion Capital,GreenEnergy Corp,CRM-COMP-003,Initial Review,2026-03-30,35000000,EUR,45,Conference,Lisa Rodriguez,2025-10-10,2025-10-25,Renewable energy project developer,Energy,Europe,Growth Equity,ESG-focused investment with strong pipeline of projects,
OPP-004,Recapitalization,RetailMax Holdings,CRM-COMP-004,Negotiation,2026-01-20,50000000,USD,90,Existing Portfolio,David Kim,2025-06-15,2025-10-20,Multi-brand retail chain with omnichannel presence,Consumer,North America,Buyout,Proven management team with successful track record,Growth Capital Fund III
OPP-005,Series A Investment,FinTech Innovations,CRM-COMP-005,Prospecting,2026-05-15,8000000,USD,25,Cold Outreach,Emma Thompson,2025-10-05,2025-10-28,Digital banking platform for SMEs,Financial Services,Asia Pacific,Venture,Large addressable market with strong product-market fit,Healthcare Innovation Fund I
OPP-006,Bolt-on Acquisition,Industrial Solutions Ltd,CRM-COMP-006,Due Diligence,2025-12-31,12000000,GBP,70,Investment Banker,Robert Wilson,2025-09-01,2025-10-18,Manufacturing services for aerospace industry,Industrials,Europe,Add-on,Strategic fit with existing portfolio company,European Buyout Fund II
OPP-007,Growth Investment,EduTech Platform,CRM-COMP-007,Declined,2025-10-30,,USD,0,Direct Outreach,Sarah Johnson,2025-05-20,2025-10-30,Online learning platform for K-12 education,Education,North America,Growth Equity,Valuation expectations too high for current metrics,Growth Capital Fund III
OPP-008,Buyout Opportunity,LogiCorp International,CRM-COMP-008,LOI Signed,2026-02-15,75000000,USD,95,Auction Process,Michael Chen,2025-04-10,2025-10-25,Third-party logistics provider with national footprint,Transportation,North America,Buyout,Fragmented market with consolidation opportunity,
OPP-009,Series C Funding,BioTech Ventures,CRM-COMP-009,Initial Review,2026-04-20,40000000,USD,35,Referral,Lisa Rodriguez,2025-09-15,2025-10-22,Drug discovery platform using AI/ML,Healthcare,North America,Growth Equity,Promising pipeline but regulatory risks remain,Healthcare Innovation Fund I
OPP-010,Distressed Investment,Energy Services Co,CRM-COMP-010,On Hold,2026-09-30,20000000,USD,15,Distressed Specialist,David Kim,2025-08-30,2025-10-20,Oilfield services company facing restructuring,Energy,North America,Special Situations,Cyclical downturn but strong underlying assets,Distressed Opportunities Fund
OPP-011,Platform Investment,CloudSoft Systems,CRM-COMP-011,Due Diligence,2026-01-10,30000000,USD,80,Technology Banker,Emma Thompson,2025-07-25,2025-10-24,Enterprise software for cloud migration,Technology,North America,Buyout,Experienced management team with clear growth strategy,Growth Capital Fund III
OPP-012,Co-Investment,European Pharma,CRM-COMP-012,Committed,2025-11-15,18000000,EUR,100,Co-Investment Partner,Robert Wilson,2025-06-05,2025-10-15,Specialty pharmaceutical manufacturer,Healthcare,Europe,Co-Investment,European Buyout Fund II
OPP-013,Minority Investment,AgriTech Solutions,CRM-COMP-013,Term Sheet,2026-02-28,22000000,USD,75,Industry Contact,Sarah Johnson,2025-08-10,2025-10-26,Precision agriculture technology platform,Agriculture,North America,Growth Equity,Sustainable farming solutions with strong IP portfolio,Asia Pacific Growth Fund
OPP-014,Carve-out Opportunity,Manufacturing Division,CRM-COMP-014,Prospecting,2026-06-30,45000000,USD,40,Corporate Development,Michael Chen,2025-10-08,2025-10-29,Automotive parts manufacturing division,Industrials,Asia Pacific,Buyout,Corporate parent looking to divest non-core assets,Asia Pacific Growth Fund
OPP-015,Secondary Purchase,Real Estate Fund,CRM-COMP-015,Initial Review,2026-03-15,60000000,USD,30,Secondary Broker,Lisa Rodriguez,2025-09-20,2025-10-23,Commercial real estate development fund,Real Estate,North America,Secondary,Limited partner seeking liquidity at discount,
