expense_id,fund_code,expense_type,expense_category,vendor_name,expense_date,expense_amount,expense_currency,description,invoice_number,approval_status,payment_status,payment_date,allocated_to_investments,created_date,last_modified_date,fx_rate,fx_rate_as_of,fx_rate_source
ADMIN-EXP-001,ADMIN-FUND-001,Audit,Fund,"Howell, Booker and Mejia",2021-05-24,150473.94,EUR,Real often able give visit.,49916,PAID,PAID,2021-05-24,,2021-05-24,2021-05-24,1.0,2021-05-24,INTERNAL
ADMIN-EXP-002,ADMIN-FUND-001,Other,Transaction,Blankenship Ltd,2025-05-07,39259.01,EUR,Respond what production now. Fill recognize worry technology after.,10820,APPROVED,PAID,2025-05-07,,2025-05-07,2025-05-07,1.0,2025-05-07,INTERNAL
ADMIN-EXP-003,ADMIN-FUND-001,Audit,Transaction,"Brown, Lopez and Valentine",2024-12-08,182471.84,EUR,"Smile film task attorney say. Number poor throughout.
Each PM where new including education.",86851,PAID,PAID,2024-12-08,,2024-12-08,2024-12-08,1.0,2024-12-08,INTERNAL
ADMIN-EXP-004,ADMIN-FUND-001,Travel,Fund,Jensen Inc,2025-05-28,183285.12,EUR,Whatever type lead senior you news. Later tax team because order order interest.,25169,PENDING,UNPAID,2025-05-28,,2025-05-28,2025-05-28,1.0,2025-05-28,INTERNAL
ADMIN-EXP-005,ADMIN-FUND-001,Travel,Fund,Wu-Neal,2025-06-04,108927.87,EUR,Traditional boy song. Difficult sell accept country.,72983,APPROVED,PAID,2025-06-04,,2025-06-04,2025-06-04,1.0,2025-06-04,INTERNAL
ADMIN-EXP-006,ADMIN-FUND-001,Other,Fund,Gordon and Sons,2022-04-05,192465.49,EUR,Production choice edge everyone. Would pressure room under team security at.,47212,PENDING,UNPAID,2022-04-05,,2022-04-05,2022-04-05,1.0,2022-04-05,INTERNAL
ADMIN-EXP-007,ADMIN-FUND-001,Other,Transaction,Sanchez Ltd,2021-01-14,170167.82,EUR,Together service me. Friend another effect culture radio station.,74307,APPROVED,UNPAID,2021-01-14,,2021-01-14,2021-01-14,1.0,2021-01-14,INTERNAL
ADMIN-EXP-008,ADMIN-FUND-001,Travel,Transaction,Perkins PLC,2021-01-16,138101.02,EUR,Want ahead easy whole. Start at hit class nothing soon data.,93535,PENDING,UNPAID,2021-01-16,,2021-01-16,2021-01-16,1.0,2021-01-16,INTERNAL
ADMIN-EXP-009,ADMIN-FUND-001,Other,Fund,Hudson Group,2022-03-16,207610.03,EUR,Think brother far chair describe in. Try school wait never.,27004,PENDING,PAID,2022-03-16,,2022-03-16,2022-03-16,1.0,2022-03-16,INTERNAL
ADMIN-EXP-010,ADMIN-FUND-001,Audit,Fund,"Fleming, Baker and Harris",2023-09-29,254930.74,EUR,Thought result while example leave. Threat project half door. End dark spring speak drive.,19121,PAID,PAID,2023-09-29,,2023-09-29,2023-09-29,1.0,2023-09-29,INTERNAL
ADMIN-EXP-011,ADMIN-FUND-001,Travel,Transaction,"Jacobson, Salinas and Adams",2022-05-13,239030.37,EUR,Forward stuff peace vote meet spring continue.,23213,PAID,UNPAID,2022-05-13,,2022-05-13,2022-05-13,1.0,2022-05-13,INTERNAL
ADMIN-EXP-012,ADMIN-FUND-001,Audit,Fund,Cuevas LLC,2021-04-30,182750.09,EUR,Vote state turn center build happy near. Trouble news five decide.,40968,PAID,PAID,2021-04-30,,2021-04-30,2021-04-30,1.0,2021-04-30,INTERNAL
ADMIN-EXP-013,ADMIN-FUND-001,Travel,Transaction,"Jenkins, Peterson and Harmon",2024-06-26,185774.59,EUR,Toward leg car involve radio. Could life born treat population another.,42049,PAID,PAID,2024-06-26,,2024-06-26,2024-06-26,1.0,2024-06-26,INTERNAL
ADMIN-EXP-014,ADMIN-FUND-001,Audit,Transaction,Snyder and Sons,2024-01-07,130837.59,EUR,Business her generation remember million.,74107,PAID,UNPAID,2024-01-07,,2024-01-07,2024-01-07,1.0,2024-01-07,INTERNAL
ADMIN-EXP-015,ADMIN-FUND-001,Other,Fund,Lyons and Sons,2021-09-05,71031.06,EUR,Southern stop customer although add by how. Population weight wonder develop while question.,61522,PENDING,PAID,2021-09-05,,2021-09-05,2021-09-05,1.0,2021-09-05,INTERNAL
ADMIN-EXP-016,ADMIN-FUND-001,Audit,Transaction,Webster LLC,2025-09-13,235267.74,EUR,Get wrong teach not. Team condition when if help start peace year.,85708,PENDING,PAID,2025-09-13,,2025-09-13,2025-09-13,1.0,2025-09-13,INTERNAL
ADMIN-EXP-017,ADMIN-FUND-001,Other,Transaction,Hill-Carey,2024-10-19,33960.55,EUR,Protect director next figure business no chance.,84847,APPROVED,UNPAID,2024-10-19,,2024-10-19,2024-10-19,1.0,2024-10-19,INTERNAL
ADMIN-EXP-018,ADMIN-FUND-001,Travel,Fund,Williams-Flores,2025-06-02,110592.27,EUR,Son view process happy. Within environment back short pull form. Admit value before result or.,97388,PAID,UNPAID,2025-06-02,,2025-06-02,2025-06-02,1.0,2025-06-02,INTERNAL
ADMIN-EXP-019,ADMIN-FUND-001,Other,Fund,"Davis, Parker and Everett",2021-07-21,83322.01,EUR,West public size. Consider by animal building attorney success.,52844,APPROVED,PAID,2021-07-21,,2021-07-21,2021-07-21,1.0,2021-07-21,INTERNAL
ADMIN-EXP-020,ADMIN-FUND-001,Travel,Fund,Mclean-Dyer,2025-01-29,222874.85,EUR,Staff history girl real almost teach. Age each fire.,22917,APPROVED,UNPAID,2025-01-29,,2025-01-29,2025-01-29,1.0,2025-01-29,INTERNAL
