pm_facility_id,pm_fund_id,pm_borrower_company_id,facility_name,facility_type,agreement_date,effective_date,total_commitment,currency_code,maturity_date,purpose,description
PM-FAC-001,ADMIN-FUND-004,CRM-COMP-025,DATA CENTER HOLDINGS Facility,Revolver,2016-09-28,2016-10-11,2560444.59,USD,2020-09-27,Growth capital,"Operation sense skill everybody. Political crime finally term open story so.
Cup significant admit."
PM-FAC-002,ADMIN-FUND-004,CRM-COMP-026,INDUSTRIAL SOLUTIONS INTERNATIONAL Facility,Term Loan,2016-02-12,2016-03-08,3826262.61,EUR,2023-02-10,Working capital,Authority air sort investment guy such notice to. Really door against. Car thing shake grow.
PM-FAC-003,ADMIN-FUND-004,CRM-COMP-027,WESTERN BUSINESS SERVICES HOLDINGS Facility,Revolver,2018-03-17,2018-04-02,3274145.96,USD,2024-03-15,Growth capital,Report adult same. Place detail region garden. Week least deep carry summer.
PM-FAC-004,ADMIN-FUND-004,CRM-COMP-028,DATA CENTER INFRASTRUCTURE Facility,Revolver,2019-05-26,2019-06-25,3024848.24,USD,2026-05-24,Acquisition financing,Above low town. Theory off fine represent. Dinner position something miss including.
PM-FAC-005,ADMIN-FUND-004,CRM-COMP-029,NORTHERN RETAIL CHAIN Facility,Revolver,2016-06-27,2016-07-01,1792977.93,USD,2020-06-26,Refinancing,Image case answer free knowledge. Until relate hour large friend bag. City north role act alone view. Blue management record room program outside.
PM-FAC-006,ADMIN-FUND-005,CRM-COMP-030,DATA CENTER HOLDINGS Facility,Revolver,2021-06-17,2021-06-21,3100139.46,EUR,2028-06-15,Working capital,Whom pressure rather employee plant pay. Just analysis strong.
PM-FAC-007,ADMIN-FUND-005,CRM-COMP-031,MANUFACTURING DIVISION Facility,Revolver,2021-04-16,2021-05-03,1858925.22,EUR,2025-04-15,Working capital,"Huge investment trial.
Available hit keep enjoy. You may reason by threat. Production now eye ok white."
PM-FAC-008,ADMIN-FUND-005,CRM-COMP-032,INDUSTRIAL SYSTEMS DIVISION Facility,Term Loan,2023-09-27,2023-10-20,2994021.75,USD,2027-09-26,Acquisition financing,"Commercial say side find. Another well drive provide think something.
Have minute back left leg agency other. Traditional boy song."
PM-FAC-009,ADMIN-FUND-005,CRM-COMP-033,MANUFACTURING DIVISION Facility,Revolver,2020-07-11,2020-08-06,2328299.25,EUR,2024-07-10,Acquisition financing,Wall meet old tonight sound everybody which financial. Price yet catch. Class approach necessary past Mr personal stuff.
PM-FAC-010,ADMIN-FUND-005,CRM-COMP-034,CENTRAL OUTSOURCING GROUP Facility,Term Loan,2021-08-27,2021-08-31,2287476.4,EUR,2025-08-26,Growth capital,Discuss stock lead green total benefit Mr car. Raise prepare wrong bed. Like her part team.
PM-FAC-011,ADMIN-FUND-005,CRM-COMP-035,MANUFACTURING DIVISION Facility,Revolver,2023-03-20,2023-03-29,2307698.22,USD,2030-03-18,Working capital,Few page cold. Can college care think brother. Why eight skill program try.
PM-FAC-012,ADMIN-FUND-006,CRM-COMP-036,SOUTHERN FACILITIES MANAGEMENT HOLDINGS Facility,Revolver,2024-06-07,2024-06-27,4205517.17,USD,2031-06-06,Refinancing,Use organization me while as decade. Call computer experience against recently. Of understand view.
PM-FAC-013,ADMIN-FUND-006,CRM-COMP-037,ENGINEERING HOLDINGS Facility,Revolver,2023-11-23,2023-12-14,3806001.13,USD,2028-11-21,Working capital,Five decide spring price school. Item town something employee. Any market poor clear possible staff agent.
PM-FAC-014,ADMIN-FUND-006,CRM-COMP-038,MEDDEVICE GROUP Facility,Term Loan,2023-12-30,2024-01-22,1705884.84,USD,2027-12-29,Growth capital,Million hospital trade agree. Offer piece machine early. Rest whom good throw.
PM-FAC-015,ADMIN-FUND-006,CRM-COMP-039,MIDSTREAM GAS PIPELINE Facility,Term Loan,2025-08-24,2025-08-27,3078819.91,USD,2030-08-23,Refinancing,Type seven move election I customer. Send capital decide wide describe real. Center claim Republican admit. Senior factor young get.
PM-FAC-016,ADMIN-FUND-006,CRM-COMP-040,MEDSCIENCE INNOVATIONS Facility,Term Loan,2023-05-18,2023-06-04,3583406.38,USD,2027-05-17,Acquisition financing,Room so and five notice son. Process happy into result author not truth garden.
PM-FAC-017,ADMIN-FUND-006,CRM-COMP-041,HEALTHSYSTEMS GROUP Facility,Revolver,2023-04-06,2023-04-06,2822013.26,USD,2030-04-04,Acquisition financing,West public size. Consider by animal building attorney success.
PM-FAC-018,ADMIN-FUND-006,CRM-COMP-042,VERTEX SYSTEMS Facility,Term Loan,2023-05-02,2023-05-14,3004982.17,USD,2030-04-30,Working capital,Claim claim including deal. Doctor bad finish face modern. Subject shake particularly give example price easy.
PM-FAC-019,ADMIN-FUND-006,CRM-COMP-043,INDUSTRIAL SOLUTIONS HOLDINGS Facility,Term Loan,2024-12-19,2025-01-18,2700609.12,USD,2030-12-18,Acquisition financing,"Cover piece six have line one. Also act few note. High ask rich development area.
Today themselves blood single."
PM-FAC-020,ADMIN-FUND-006,CRM-COMP-044,ENERGY SERVICES CORP Facility,Revolver,2025-06-15,2025-06-15,1437785.61,USD,2032-06-13,Acquisition financing,"Ask enjoy year few success. Choice Mr social hand. Clear spring participant.
Hospital Congress seem role senior serve. Cut minute check soldier act."
PM-FAC-021,ADMIN-FUND-006,CRM-COMP-045,MANUFACTURING DIVISION Facility,Revolver,2023-07-12,2023-07-13,3109706.41,USD,2029-07-10,Acquisition financing,Water son special something. Before response whatever. Fall thing around sport.
PM-FAC-022,ADMIN-FUND-006,CRM-COMP-046,ENERGY SERVICES CO Facility,Term Loan,2024-06-12,2024-06-21,2930991.44,USD,2031-06-11,Refinancing,"Work need southern sea anyone trouble. Lawyer anyone station fact.
Usually our good onto people edge great our."
