loan_cashflow_id,loan_id,cashflow_type,cashflow_date,amount,currency_code,description,created_date,last_modified_date
CF-L001-001,PM-LOAN-001,DRAW,2024-01-15,75000000,USD,Initial drawdown of Senior Secured Term Loan A,2024-01-15,2024-01-15
CF-L001-002,PM-LOAN-001,INTEREST_PAYMENT,2024-03-31,1125000,USD,Q1 2024 interest payment,2024-03-31,2024-03-31
CF-L001-003,PM-LOAN-001,PRINCIPAL_REPAYMENT,2024-03-31,2343750,USD,Q1 2024 principal repayment,2024-03-31,2024-03-31
CF-L001-004,PM-LOAN-001,INTEREST_PAYMENT,2024-06-30,1089844,USD,Q2 2024 interest payment,2024-06-30,2024-06-30
CF-L001-005,PM-LOAN-001,PRINCIPAL_REPAYMENT,2024-06-30,2343750,USD,Q2 2024 principal repayment,2024-06-30,2024-06-30
CF-L001-006,PM-LOAN-001,INTEREST_PAYMENT,2024-09-30,1054688,USD,Q3 2024 interest payment,2024-09-30,2024-09-30
CF-L001-007,PM-LOAN-001,PRINCIPAL_REPAYMENT,2024-09-30,2343750,USD,Q3 2024 principal repayment,2024-09-30,2024-09-30
CF-L001-008,PM-LOAN-001,INTEREST_PAYMENT,2024-12-31,1019531,USD,Q4 2024 interest payment,2024-12-31,2024-12-31
CF-L001-009,PM-LOAN-001,PRINCIPAL_REPAYMENT,2024-12-31,2343750,USD,Q4 2024 principal repayment,2024-12-31,2024-12-31
CF-L001-010,PM-LOAN-001,INTEREST_PAYMENT,2025-03-31,984375,USD,Q1 2025 interest payment,2025-03-31,2025-03-31
CF-L001-011,PM-LOAN-001,PRINCIPAL_REPAYMENT,2025-03-31,2343750,USD,Q1 2025 principal repayment,2025-03-31,2025-03-31
CF-L001-012,PM-LOAN-001,INTEREST_PAYMENT,2025-06-30,949219,USD,Q2 2025 interest payment,2025-06-30,2025-06-30
CF-L001-013,PM-LOAN-001,PRINCIPAL_REPAYMENT,2025-06-30,2343750,USD,Q2 2025 principal repayment,2025-06-30,2025-06-30
CF-L001-014,PM-LOAN-001,INTEREST_PAYMENT,2025-09-30,914063,USD,Q3 2025 interest payment,2025-09-30,2025-09-30
CF-L001-015,PM-LOAN-001,PRINCIPAL_REPAYMENT,2025-09-30,2343750,USD,Q3 2025 principal repayment,2025-09-30,2025-09-30
CF-L002-001,PM-LOAN-002,DRAW,2024-03-01,50000000,USD,Initial drawdown of Senior Secured Term Loan,2024-03-01,2024-03-01
CF-L002-002,PM-LOAN-002,INTEREST_PAYMENT,2024-06-01,787500,USD,Q2 2024 interest payment,2024-06-01,2024-06-01
CF-L002-003,PM-LOAN-002,PRINCIPAL_REPAYMENT,2024-06-01,1785714,USD,Q2 2024 principal repayment,2024-06-01,2024-06-01
CF-L002-004,PM-LOAN-002,INTEREST_PAYMENT,2024-09-01,760714,USD,Q3 2024 interest payment,2024-09-01,2024-09-01
CF-L002-005,PM-LOAN-002,PRINCIPAL_REPAYMENT,2024-09-01,1785714,USD,Q3 2024 principal repayment,2024-09-01,2024-09-01
CF-L002-006,PM-LOAN-002,INTEREST_PAYMENT,2024-12-01,733929,USD,Q4 2024 interest payment,2024-12-01,2024-12-01
CF-L002-007,PM-LOAN-002,PRINCIPAL_REPAYMENT,2024-12-01,1785714,USD,Q4 2024 principal repayment,2024-12-01,2024-12-01
CF-L002-008,PM-LOAN-002,INTEREST_PAYMENT,2025-03-01,707143,USD,Q1 2025 interest payment,2025-03-01,2025-03-01
CF-L002-009,PM-LOAN-002,PRINCIPAL_REPAYMENT,2025-03-01,1785714,USD,Q1 2025 principal repayment,2025-03-01,2025-03-01
CF-L002-010,PM-LOAN-002,INTEREST_PAYMENT,2025-06-01,680357,USD,Q2 2025 interest payment,2025-06-01,2025-06-01
CF-L002-011,PM-LOAN-002,PRINCIPAL_REPAYMENT,2025-06-01,1785714,USD,Q2 2025 principal repayment,2025-06-01,2025-06-01
CF-L002-012,PM-LOAN-002,INTEREST_PAYMENT,2025-09-01,653571,USD,Q3 2025 interest payment,2025-09-01,2025-09-01
CF-L002-013,PM-LOAN-002,PRINCIPAL_REPAYMENT,2025-09-01,1785714,USD,Q3 2025 principal repayment,2025-09-01,2025-09-01
CF-L003-001,PM-LOAN-003,DRAW,2024-06-15,30000000,USD,Initial drawdown of Mezzanine Loan,2024-06-15,2024-06-15
CF-L003-002,PM-LOAN-003,INTEREST_PAYMENT,2024-09-15,900000,USD,Q3 2024 interest payment,2024-09-15,2024-09-15
CF-L003-003,PM-LOAN-003,INTEREST_PAYMENT,2024-12-15,900000,USD,Q4 2024 interest payment,2024-12-15,2024-12-15
