id,company_id,end_date,start_date,period,accounts_type,currency_code,revenue,cost_of_goods_sold,gross_profit,operating_expenses,ebitda,depreciation_amortization,ebit,net_income,cash,total_assets,total_liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,created_at,updated_at
PM-FIN-001,PM-COMP-001,2023-12-31,2023-01-01,ANNUAL,AUDITED,USD,263819701.52,98204033.73,165615667.79,54023414.92,111592252.87,3271877.21,108320375.66,81979946.9,49453651.89,271987524.88,96782057.77,175205467.11,96545299.48,-15975989.39,-81522304.92,2025-10-23 12:53:51.482408,2025-10-23 12:53:51.482446
PM-FIN-002,PM-COMP-001,2024-03-31,2024-01-01,QUARTERLY,MANAGEMENT,USD,56700385.0,21318504.1,35381880.9,11560076.23,23821804.67,527048.39,23294756.28,17388019.93,3149224.83,54030374.43,26956386.88,27073987.55,14899527.36,-3914105.22,-10908192.16,2025-10-23 12:53:51.482733,2025-10-23 12:53:51.482742
PM-FIN-003,PM-COMP-001,2024-06-30,2024-04-01,QUARTERLY,MANAGEMENT,USD,67209152.77,25364791.84,41844360.93,13355337.86,28489023.07,759715.27,27729307.8,20623508.84,7383890.39,39681056.73,26070323.79,13610732.94,21992464.96,-3393814.71,-20466250.13,2025-10-23 12:53:51.482807,2025-10-23 12:53:51.482812
PM-FIN-004,PM-COMP-001,2024-09-30,2024-07-01,QUARTERLY,MANAGEMENT,USD,69557697.78,26023194.7,43534503.08,14781625.44,28752877.64,1055467.1,27697410.54,21351214.4,7677784.72,69909616.38,30874037.21,39035579.17,22497837.26,-2089012.09,-22229256.58,2025-10-23 12:53:51.482876,2025-10-23 12:53:51.482881
PM-FIN-005,PM-COMP-001,2024-12-31,2024-01-01,ANNUAL,AUDITED,USD,265797696.25,98940320.9,166857375.35,54428456.81,112428918.54,3296408.19,109132510.35,83122157.8,30551932.92,311219984.79,158740530.35,152479454.44,84874230.54,-19993211.79,-60438329.45,2025-10-23 12:53:51.482515,2025-10-23 12:53:51.482521
PM-FIN-006,PM-COMP-001,2025-03-31,2025-01-01,QUARTERLY,MANAGEMENT,USD,58139716.15,20069692.34,38070023.81,12394478.75,25675545.06,859899.34,24815645.72,17749370.73,8339701.94,62921359.65,32950919.22,29970440.43,19256484.53,-2720564.2,-17207767.21,2025-10-23 12:53:51.483054,2025-10-23 12:53:51.483060
PM-FIN-007,PM-COMP-001,2025-06-30,2025-04-01,QUARTERLY,MANAGEMENT,USD,67842073.08,27042928.44,40799144.64,14022623.41,26776521.23,381696.51,26394824.72,18852780.24,4457825.47,80950683.61,47889004.69,33061678.92,23299960.48,-2376454.25,-22804878.13,2025-10-23 12:53:51.483125,2025-10-23 12:53:51.483129
PM-FIN-008,PM-COMP-001,2025-09-30,2025-07-01,QUARTERLY,MANAGEMENT,USD,70624564.65,25713622.84,44910941.81,14215206.45,30695735.36,566909.3,30128826.06,21267700.3,9748489.66,50448439.97,25452416.66,24996023.31,16812096.21,-1775024.37,-14130153.99,2025-10-23 12:53:51.483193,2025-10-23 12:53:51.483198
PM-FIN-009,PM-COMP-002,2023-12-31,2023-01-01,ANNUAL,AUDITED,USD,136152811.51,70752083.71,65400727.8,45582267.56,19818460.24,5265185.57,14553274.67,8912011.99,24396633.26,122644383.52,73217894.6,49426488.92,19085185.11,-6640248.64,-13230891.68,2025-10-23 12:53:51.484741,2025-10-23 12:53:51.484746
PM-FIN-0010,PM-COMP-002,2024-03-31,2024-01-01,QUARTERLY,MANAGEMENT,USD,31900841.61,16509685.17,15391156.44,10580217.52,4810938.92,1271089.61,3539849.31,2491435.11,4228504.18,25009476.09,14028741.11,10980734.98,2786622.38,-887693.36,-1799115.03,2025-10-23 12:53:51.484920,2025-10-23 12:53:51.484926
PM-FIN-0011,PM-COMP-002,2024-06-30,2024-04-01,QUARTERLY,MANAGEMENT,USD,31009095.5,16138428.96,14870666.54,10370439.93,4500226.61,1188620.91,3311605.7,2362598.6,4925868.61,16815598.74,9830244.13,6985354.61,5981469.95,-831670.44,-4943356.2,2025-10-23 12:53:51.484987,2025-10-23 12:53:51.484992
PM-FIN-0012,PM-COMP-002,2024-09-30,2024-07-01,QUARTERLY,MANAGEMENT,USD,34659044.56,17698277.64,16960766.92,11634385.57,5326381.35,1406869.28,3919512.07,2765009.11,3417086.5,24389322.75,8736604.66,15652718.09,2690842.45,-2416148.1,-767352.98,2025-10-23 12:53:51.485053,2025-10-23 12:53:51.485058
PM-FIN-0013,PM-COMP-002,2024-12-31,2024-01-01,ANNUAL,AUDITED,USD,138929347.3,72194916.15,66734431.15,46511817.2,20222613.95,5372557.4,14850056.55,10217988.81,22578139.98,167182950.49,44729891.73,122453058.76,12086053.87,-8459604.26,-3737575.13,2025-10-23 12:53:51.484802,2025-10-23 12:53:51.484807
PM-FIN-0014,PM-COMP-002,2025-03-31,2025-01-01,QUARTERLY,MANAGEMENT,USD,33915854.38,17983682.99,15932171.39,11162404.42,4769766.97,1316398.95,3453368.02,2453941.82,3804649.79,24359493.18,11426799.24,12932693.94,4771741.38,-1986641.59,-2575523.38,2025-10-23 12:53:51.485210,2025-10-23 12:53:51.485215
PM-FIN-0015,PM-COMP-002,2025-06-30,2025-04-01,QUARTERLY,MANAGEMENT,USD,37391595.11,19260389.89,18131205.22,12448148.73,5683056.49,1602256.91,4080799.58,2846964.04,2551031.07,40869169.79,17334345.3,23534824.49,5867164.7,-1424710.19,-4398875.85,2025-10-23 12:53:51.485277,2025-10-23 12:53:51.485282
PM-FIN-0016,PM-COMP-002,2025-09-30,2025-07-01,QUARTERLY,MANAGEMENT,USD,41435879.21,20787651.32,20648227.89,13524528.65,7123699.24,1441477.04,5682222.2,4025946.1,4170915.65,29758337.06,13109838.28,16648498.78,2677258.21,-2831118.9,282256.64,2025-10-23 12:53:51.485341,2025-10-23 12:53:51.485347
PM-FIN-0017,PM-COMP-004,2023-12-31,2023-01-01,ANNUAL,AUDITED,USD,218262286.11,135800380.0,82461906.11,54657915.51,27803990.6,2980919.89,24823070.71,15460978.07,15934332.46,274606267.17,82866426.86,191739840.31,23037129.83,-10135373.25,-9694965.86,2025-10-23 12:53:51.483287,2025-10-23 12:53:51.483295
PM-FIN-0018,PM-COMP-004,2024-03-31,2024-01-01,QUARTERLY,MANAGEMENT,USD,55097622.86,33901127.43,21196495.43,13386625.36,7809870.07,782281.64,7027588.43,4890222.62,5492994.57,31207985.34,17269817.15,13938168.19,2548438.43,-3111824.43,912502.63,2025-10-23 12:53:51.483502,2025-10-23 12:53:51.483509
PM-FIN-0019,PM-COMP-004,2024-06-30,2024-04-01,QUARTERLY,MANAGEMENT,USD,55196504.38,34044331.67,21152172.71,13709142.51,7443030.2,729351.79,6713678.41,4985185.64,6633015.48,30895373.15,7564381.44,23330991.71,5728651.68,-1465380.2,-5262785.33,2025-10-23 12:53:51.483574,2025-10-23 12:53:51.483579
PM-FIN-0020,PM-COMP-004,2024-09-30,2024-07-01,QUARTERLY,MANAGEMENT,USD,65935476.96,40595944.28,25339532.68,15816797.45,9522735.23,889466.47,8633268.76,5753996.5,3959398.62,74508634.88,31019728.3,43488906.58,8355543.71,-5229734.66,-4081094.14,2025-10-23 12:53:51.483650,2025-10-23 12:53:51.483655
PM-FIN-0021,PM-COMP-004,2024-12-31,2024-01-01,ANNUAL,AUDITED,USD,247113330.35,153751180.57,93362149.78,61882883.08,31479266.7,3374953.38,28104313.32,18126564.36,42386952.31,307079093.94,120174651.35,186904442.59,31892808.63,-22533751.34,-11470844.86,2025-10-23 12:53:51.483356,2025-10-23 12:53:51.483360
PM-FIN-0022,PM-COMP-004,2025-03-31,2025-01-01,QUARTERLY,MANAGEMENT,USD,57412115.82,35748862.73,21663253.09,14854416.52,6808836.57,800592.26,6008244.31,4084026.93,9612820.91,51549893.22,27253964.12,24295929.1,7346338.78,-4508935.02,-2896698.79,2025-10-23 12:53:51.483818,2025-10-23 12:53:51.483824
PM-FIN-0023,PM-COMP-004,2025-06-30,2025-04-01,QUARTERLY,MANAGEMENT,USD,65578991.62,42952534.73,22626456.89,16950360.01,5676096.88,665702.12,5010394.76,2777537.94,11158910.96,39099291.03,25521349.22,13577941.81,5847331.2,-2500529.13,-3867894.29,2025-10-23 12:53:51.483888,2025-10-23 12:53:51.483893
PM-FIN-0024,PM-COMP-004,2025-09-30,2025-07-01,QUARTERLY,MANAGEMENT,USD,72730604.0,45337313.99,27393290.01,18256720.73,9136569.28,956000.33,8180568.95,5132198.36,7899929.99,36912595.46,14697855.53,22214739.93,8699270.4,-2428747.34,-5034913.0,2025-10-23 12:53:51.483954,2025-10-23 12:53:51.483959
PM-FIN-0025,PM-COMP-005,2023-12-31,2023-01-01,ANNUAL,AUDITED,USD,94977761.51,49686548.81,45291212.7,28418134.17,16873078.53,1420386.44,15452692.09,10618391.46,14352071.38,82749047.97,37064334.71,45684713.26,14236388.41,-8919421.1,-5898316.94,2025-10-23 12:53:51.486109,2025-10-23 12:53:51.486114
PM-FIN-0026,PM-COMP-005,2024-03-31,2024-01-01,QUARTERLY,MANAGEMENT,USD,21397735.91,10954456.15,10443279.76,6460732.59,3982547.17,302952.74,3679594.43,2696080.65,2663784.2,12550497.24,4833505.52,7716991.72,4338789.86,-1554136.55,-2947277.12,2025-10-23 12:53:51.486277,2025-10-23 12:53:51.486284
PM-FIN-0027,PM-COMP-005,2024-06-30,2024-04-01,QUARTERLY,MANAGEMENT,USD,23754576.92,12402330.04,11352246.88,7158050.32,4194196.56,322230.16,3871966.4,2714960.47,3933934.36,15291174.52,3364885.27,11926289.25,4777788.67,-1394183.5,-2751978.44,2025-10-23 12:53:51.486347,2025-10-23 12:53:51.486352
PM-FIN-0028,PM-COMP-005,2024-09-30,2024-07-01,QUARTERLY,MANAGEMENT,USD,26181779.74,13846237.1,12335542.64,7672034.28,4663508.36,319557.38,4343950.98,3047542.3,3254104.47,28756513.54,8373990.17,20382523.37,4826077.36,-618066.1,-4759592.11,2025-10-23 12:53:51.486411,2025-10-23 12:53:51.486417
PM-FIN-0029,PM-COMP-005,2024-12-31,2024-01-01,ANNUAL,AUDITED,USD,100412441.04,52529640.35,47882800.69,30044235.37,17838565.32,1501661.73,16336903.59,10508029.41,20033783.11,130793288.51,71154121.05,59639167.46,10148337.26,-5592449.49,-3091758.38,2025-10-23 12:53:51.486168,2025-10-23 12:53:51.486173
PM-FIN-0030,PM-COMP-005,2025-03-31,2025-01-01,QUARTERLY,MANAGEMENT,USD,24913759.33,13126709.31,11787050.02,7421003.0,4366047.02,335082.5,4030964.52,2812319.95,2421139.61,20833663.69,12682857.48,8150806.21,1959009.72,-1151870.64,-930583.86,2025-10-23 12:53:51.486586,2025-10-23 12:53:51.486593
