valuation_id,company_id,company_name,investment_id,valuation_date,valuation_method,enterprise_value,enterprise_value_currency,equity_value,equity_value_currency,revenue_multiple,ebitda_multiple,book_multiple,comparable_companies,discount_rate,terminal_growth_rate,valuation_notes,valuation_source,confidence_level,last_financing_round_valuation,last_financing_date,created_date,last_modified_date
VAL-001,PM-COMP-001,TechFlow Solutions,PM-INV-001,2022-09-30,Market Multiple,175000000,USD,161250000,USD,8.5,45.0,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Strong SaaS metrics with 40% YoY growth and 90% gross margins,External Valuation,High,161250000,2022-08-15,2022-10-01,2022-10-01
VAL-002,PM-COMP-001,TechFlow Solutions,PM-INV-001,2022-12-31,Market Multiple,187500000,USD,172500000,USD,8.8,44.1,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Continued strong performance with new customer wins,Internal Valuation,Medium,161250000,2022-08-15,2023-01-10,2023-01-10
VAL-003,PM-COMP-001,TechFlow Solutions,PM-INV-001,2023-03-31,Market Multiple,200000000,USD,184000000,USD,9.2,42.1,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Market expansion and product enhancements driving growth,Internal Valuation,Medium,161250000,2022-08-15,2023-04-10,2023-04-10
VAL-004,PM-COMP-001,TechFlow Solutions,PM-INV-001,2023-06-30,Market Multiple,225000000,USD,207000000,USD,9.6,42.9,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Strong Q2 results with accelerating ARR growth,Internal Valuation,Medium,161250000,2022-08-15,2023-07-10,2023-07-10
VAL-005,PM-COMP-004,RetailMax Holdings,PM-INV-002,2022-12-31,DCF Analysis,125000000,USD,76875000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Omnichannel strategy showing early results,External Valuation,High,76875000,2022-11-20,2023-01-15,2023-01-15
VAL-006,PM-COMP-004,RetailMax Holdings,PM-INV-002,2023-03-31,DCF Analysis,137500000,USD,84375000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Same-store sales growth and margin expansion,Internal Valuation,Medium,76875000,2022-11-20,2023-04-15,2023-04-15
VAL-007,PM-COMP-004,RetailMax Holdings,PM-INV-002,2023-06-30,DCF Analysis,150000000,USD,92250000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Digital transformation initiatives gaining traction,Internal Valuation,Medium,76875000,2022-11-20,2023-07-15,2023-07-15
VAL-008,PM-COMP-004,RetailMax Holdings,PM-INV-002,2023-09-30,DCF Analysis,162500000,USD,99937500,USD,2.0,16.7,1.23,N/A,12.0,2.5,Strong back-to-school season performance,Internal Valuation,Medium,76875000,2022-11-20,2023-10-15,2023-10-15
VAL-009,PM-COMP-011,CloudSoft Systems,PM-INV-003,2023-06-30,Recent Transaction,65000000,USD,65000000,USD,2.9,14.4,N/A,N/A,N/A,N/A,Valuation based on recent investment transaction,Transaction-Based,High,65000000,2023-05-10,2023-07-01,2023-07-01
VAL-010,PM-COMP-011,CloudSoft Systems,PM-INV-003,2023-09-30,Market Multiple,71500000,USD,71500000,USD,2.9,14.3,N/A,"VMware (VMW), Citrix (CTXS), Nutanix (NTNX)",N/A,N/A,Cloud migration market tailwinds supporting valuation,Internal Valuation,Medium,65000000,2023-05-10,2023-10-15,2023-10-15
