rate_date,base_currency,quote_currency,exchange_rate,rate_source,created_date,last_modified_date
2022-01-01,USD,EUR,0.8804,Bloomberg,2022-01-01,2022-01-01
2022-01-01,USD,GBP,0.7376,Bloomberg,2022-01-01,2022-01-01
2022-01-01,USD,JPY,115.08,Bloomberg,2022-01-01,2022-01-01
2022-01-01,USD,CAD,1.2678,Bloomberg,2022-01-01,2022-01-01
2022-01-01,USD,CHF,0.9118,Bloomberg,2022-01-01,2022-01-01
2022-01-01,USD,SGD,1.3498,Bloomberg,2022-01-01,2022-01-01
2022-03-31,USD,EUR,0.9017,Bloomberg,2022-03-31,2022-03-31
2022-03-31,USD,GBP,0.7608,Bloomberg,2022-03-31,2022-03-31
2022-03-31,USD,JPY,121.40,Bloomberg,2022-03-31,2022-03-31
2022-03-31,USD,CAD,1.2515,Bloomberg,2022-03-31,2022-03-31
2022-03-31,USD,CHF,0.9289,Bloomberg,2022-03-31,2022-03-31
2022-03-31,USD,SGD,1.3548,Bloomberg,2022-03-31,2022-03-31
2022-06-30,USD,EUR,0.9548,Bloomberg,2022-06-30,2022-06-30
2022-06-30,USD,GBP,0.8194,Bloomberg,2022-06-30,2022-06-30
2022-06-30,USD,JPY,135.07,Bloomberg,2022-06-30,2022-06-30
2022-06-30,USD,CAD,1.2886,Bloomberg,2022-06-30,2022-06-30
2022-06-30,USD,CHF,0.9540,Bloomberg,2022-06-30,2022-06-30
2022-06-30,USD,SGD,1.3954,Bloomberg,2022-06-30,2022-06-30
2022-09-30,USD,EUR,1.0198,Bloomberg,2022-09-30,2022-09-30
2022-09-30,USD,GBP,0.8915,Bloomberg,2022-09-30,2022-09-30
2022-09-30,USD,JPY,144.75,Bloomberg,2022-09-30,2022-09-30
2022-09-30,USD,CAD,1.3856,Bloomberg,2022-09-30,2022-09-30
2022-09-30,USD,CHF,0.9847,Bloomberg,2022-09-30,2022-09-30
2022-09-30,USD,SGD,1.4287,Bloomberg,2022-09-30,2022-09-30
2022-12-31,USD,EUR,0.9371,Bloomberg,2022-12-31,2022-12-31
2022-12-31,USD,GBP,0.8318,Bloomberg,2022-12-31,2022-12-31
2022-12-31,USD,JPY,131.25,Bloomberg,2022-12-31,2022-12-31
2022-12-31,USD,CAD,1.3544,Bloomberg,2022-12-31,2022-12-31
2022-12-31,USD,CHF,0.9235,Bloomberg,2022-12-31,2022-12-31
2022-12-31,USD,SGD,1.3474,Bloomberg,2022-12-31,2022-12-31
2023-03-31,USD,EUR,0.9196,Bloomberg,2023-03-31,2023-03-31
2023-03-31,USD,GBP,0.8063,Bloomberg,2023-03-31,2023-03-31
2023-03-31,USD,JPY,133.18,Bloomberg,2023-03-31,2023-03-31
2023-03-31,USD,CAD,1.3548,Bloomberg,2023-03-31,2023-03-31
2023-03-31,USD,CHF,0.9185,Bloomberg,2023-03-31,2023-03-31
2023-03-31,USD,SGD,1.3287,Bloomberg,2023-03-31,2023-03-31
2023-06-30,USD,EUR,0.9159,Bloomberg,2023-06-30,2023-06-30
2023-06-30,USD,GBP,0.7854,Bloomberg,2023-06-30,2023-06-30
2023-06-30,USD,JPY,144.22,Bloomberg,2023-06-30,2023-06-30
2023-06-30,USD,CAD,1.3230,Bloomberg,2023-06-30,2023-06-30
2023-06-30,USD,CHF,0.8982,Bloomberg,2023-06-30,2023-06-30
2023-06-30,USD,SGD,1.3498,Bloomberg,2023-06-30,2023-06-30
2023-09-30,USD,EUR,0.9445,Bloomberg,2023-09-30,2023-09-30
2023-09-30,USD,GBP,0.8201,Bloomberg,2023-09-30,2023-09-30
2023-09-30,USD,JPY,149.35,Bloomberg,2023-09-30,2023-09-30
2023-09-30,USD,CAD,1.3548,Bloomberg,2023-09-30,2023-09-30
2023-09-30,USD,CHF,0.9154,Bloomberg,2023-09-30,2023-09-30
2023-09-30,USD,SGD,1.3687,Bloomberg,2023-09-30,2023-09-30
2023-12-31,USD,EUR,0.9071,Bloomberg,2023-12-31,2023-12-31
2023-12-31,USD,GBP,0.7854,Bloomberg,2023-12-31,2023-12-31
2023-12-31,USD,JPY,141.04,Bloomberg,2023-12-31,2023-12-31
2023-12-31,USD,CAD,1.3230,Bloomberg,2023-12-31,2023-12-31
2023-12-31,USD,CHF,0.8445,Bloomberg,2023-12-31,2023-12-31
2023-12-31,USD,SGD,1.3198,Bloomberg,2023-12-31,2023-12-31
